기업명,기업코드,공시신용등급,감성지수,ESG등급,환경,사회,지배구조,GMM_Cluster
선도전기,7610,AA,0.864356281,D,C,C,D,1
선진,136490,A+,0.747839076,A,B,A,A,3
성문전자,14910,BB,0.310825944,D,C,D,D,1
성신양회,4980,BB,0.650410102,C,B+,A,D,1
성안머티리얼스,11300,AA,0.917037029,D,D,D,D,1
성우하이텍,15750,AA-,0.814824871,C,B,A,D,1
성일하이텍,365340,A-,0.15942128,C,C,C,C,1
성창기업지주,180,AA-,0.544936973,D,C,D,D,1
세기상사,2420,BBB-,0.662720725,C,D,D,B,1
세방,4360,A-,0.4859807,C,B,C,C,1
세방전지,4490,A,0.82719862,C,C,C,C,1
세아베스틸지주,1430,BBB,0.863756223,A,A,B+,A,3
세아제강,306200,AA,0.906444829,B+,B+,B+,B+,2
세아제강지주,3030,BBB+,0.740618963,B+,B+,B+,B+,2
세아특수강,19440,A+,0.957620002,B+,B+,B+,B+,2
세아홀딩스,58650,BB,0.708377259,B+,A,A,B+,2
세우글로벌,13000,A-,0.978369721,D,D,D,D,1
세원이앤씨,91090,A+,-0.481472753,D,D,D,D,0
세원정공,21820,AA,0.876411532,C,C,C,C,1
세이브존I&C,67830,A,0.495298525,D,D,D,C,1
세진중공업,75580,AA-,0.983965404,C,C,D,C,1
셀바스AI,108860,BBB,0.519868751,D,D,D,D,1
셀트리온,68270,A-,0.741286882,A,A,A+,A,3
셀트리온제약,68760,AA-,0.237912052,D,C,C,D,1
솔루스첨단소재,336370,AA-,-0.250783936,B+,B,B+,B+,0
솔루엠,248070,BBB+,0.945770328,B+,B+,B+,B,2
솔브레인,357780,A+,0.891513043,B+,B+,A+,B,2
솔브레인홀딩스,36830,A,0.972976224,B+,B+,A+,B,2
송원산업,4430,A,0.695259315,C,B+,B+,D,1
수산세보틱스,17550,AA,0.788588652,D,C,D,D,1
수산인더스트리,126720,A,0.897785944,C,C,D,C,1
스타에스엠리츠,204210,A-,0.900470103,D,D,D,D,1
스튜디오드래곤,253450,AA,0.973661558,A,A+,A,B+,3
스틱인베스트먼트,26890,BBB,0.903501893,B+,B+,A,B,2
시그네틱스,33170,A,0.829355326,C,C,C,C,1
시디즈,134790,A,0.659585626,D,C,D,D,1
시알홀딩스,480,BBB,0.556640142,C,C,B,C,1
신대양제지,16590,BB+,0.949928341,D,C,D,D,1
신도리코,29530,BB-,0.934915758,D,C,D,D,1
신라교역,4970,A+,0.793051508,D,D,D,C,1
신라젠,215600,AA,0.463667449,D,D,D,C,1
신성델타테크,65350,A+,0.969625462,C,C,D,B,1
신성이엔지,11930,BBB,0.570659353,C,C,C,C,1
신성통상,5390,A-,0.788118739,D,D,D,D,1
신세계,4170,A,0.848528841,A,A,A+,A,3
신세계I&C,35510,A-,0.90292279,A,A,A+,A,3
신세계건설,34300,A,0.76020566,B+,B+,B+,B+,2
신세계인터내셔날,31430,A+,0.974844844,A,A,A,A,3
신세계푸드,31440,BBB-,0.826666821,A,A,A+,A,3
신송홀딩스,6880,A+,-0.284727367,D,D,D,D,0
신영와코루,5800,AA,0.012992256,D,D,D,D,1
신영증권,1720,AA,0.650818058,B+,B+,A,B+,2
신원,9270,AA-,0.583457494,B+,B,A,B+,2
신일전자,2700,A+,0.985349327,D,D,D,C,1
신풍,2870,BBB,0.332812111,D,D,D,C,1
신풍제약,19170,A-,0.005530447,C,C,B+,D,1
신한지주,55550,AAA,0.213924692,A+,A+,A,A+,4
신화인터텍,56700,AA-,0.989812491,C,C,C,B,1
신흥,4080,BB,0.688015997,D,D,D,D,1
심텍,222800,AA-,0.702042159,A,B+,A+,B+,3
쌍방울,102280,A+,0.150762087,D,D,D,D,1
써니전자,4770,BBB-,0.83844692,D,C,D,D,1
쏘카,403550,AA-,0.492717468,C,D,D,B,1
씨아이에스,222080,A+,0.986754224,C,C,C,C,1
씨아이테크,4920,A+,0.680135447,D,D,D,D,1
씨에스윈드,112610,AA-,0.986641094,A,A,B+,A,3
씨젠,96530,AA,0.941433826,B+,B,A,B+,2
씨티알모빌리티,308170,BBB-,0.813340774,B,B,C,B,2
아난티,25980,A,0.928698809,C,B,B,D,1
아남전자,8700,A+,0.858293128,D,D,D,C,1
아모레퍼시픽,90430,AA,0.894191394,A,A,A+,A,3
아모레퍼시픽그룹,2790,AA-,0.338541841,A+,A,A+,A+,4
아세아,2030,BB+,0.517851173,A,A,A,A,3
아세아시멘트,183190,BBB,0.902161668,A,A,A,B+,3
아세아제지,2310,BB+,0.902776473,B+,B+,A,B,2
아센디오,12170,AA-,0.885706955,D,D,D,D,1
아시아나IDT,267850,BB+,0.71173524,B,C,B+,B,2
아시아나항공,20560,BB+,0.334606052,B+,A,B+,B+,2
아이마켓코리아,122900,A+,0.916830931,B,C,B+,B,2
아이센스,99190,BBB,0.865520971,B,C,B+,B+,2
아이에스동서,10780,AA,0.997359415,C,B,B+,C,1
아이에이치큐,3560,AA-,0.962125586,D,D,C,D,1
아이티엠반도체,84850,BB,0.93411907,B+,B+,A,B,2
아주IB투자,27360,BB,0.302641828,B,C,A,B,2
아주스틸,139990,AA,0.407691116,D,C,D,D,1
아진전자부품,9320,BBB,0.336650183,D,D,D,D,1
안랩,53800,A+,0.982291346,A,B+,A+,B+,3
알루코,1780,BB+,0.818747132,C,B,B,C,1
알테오젠,196170,BBB-,0.506300263,C,D,C,B,1
애경산업,18250,A,0.790091813,A,A,A+,A,3
애경케미칼,161000,A-,0.999753983,B+,B+,A,B+,2
에넥스,11090,BBB-,0.792191045,D,C,D,D,1
에스디바이오센서,137310,BBB,0.708248996,C,C,B,D,1
에스앤에스텍,101490,AA,0.332402124,C,D,D,B+,1
에스에프에이,56190,BBB+,0.99230985,C,C,C,B,1
에스엘,5850,A,-0.08996389,B,B+,A,C,0
에스엠,41510,BB+,0.608685707,B+,A,B+,B+,2
에스엠벡셀,10580,AA-,0.205422196,D,D,D,C,1
에스엠코어,7820,A-,0.682962429,C,D,C,C,1
에스원,12750,A,0.647110097,B+,B+,A,B+,2
에스제이엠,123700,A+,0.733185793,C,C,C,C,1
에스제이엠홀딩스,25530,BBB+,0.965262832,C,C,C,C,1
에스케이바이오팜,326030,BBB,0.715616562,A,B+,A+,A,3
에스티큐브,52020,AA-,0.858124225,D,D,D,D,1
에스티팜,237690,BBB,0.751274361,A,A,A+,B+,3
에스피지,58610,A+,0.846005797,D,D,D,C,1
에쓰씨엔지니어링,23960,BBB+,0.916389613,D,C,D,D,1
에어부산,298690,BB-,0.927388498,C,B+,B+,D,1
에이리츠,140910,BB,0.88832697,C,D,D,B,1
에이블씨엔씨,78520,AA,0.767235157,B+,B,B+,B+,2
에이비엘바이오,298380,AA-,0.878186352,C,D,D,B+,1
에이엔피,15260,A-,0.339719113,D,C,D,D,1
에이프로젠,7460,BBB+,0.335164966,D,D,D,D,1
에이프로젠바이오로직스,3060,AA-,0.871660375,D,C,D,D,1
에이플러스에셋,244920,A+,0.892885944,D,D,D,C,1
에치에프알,230240,A+,0.151970421,D,D,D,D,1
에코마케팅,230360,BBB+,-0.064162572,C,D,D,B,1
에코프로,86520,AA-,0.665674078,C,B,B+,D,1
에코프로비엠,247540,BB+,0.984080244,C,B,B+,D,1
에코프로에이치엔,383310,AA-,0.690797748,B,B,B,B+,2
에프에스티,36810,BBB+,0.234180379,C,C,D,C,1
엑시큐어하이트론,19490,BBB-,0.712398,D,C,D,D,1
엔씨소프트,36570,AA,0.33895251,A,B+,A+,A,3
엔에이치엔,181710,A,0.60080076,A,A,A+,A,3
엔케이,85310,AA,0.908916521,D,D,D,D,1
엔케이맥스,182400,AA-,0.700606875,D,D,D,D,1
엔켐,348370,BB,0.876663587,D,C,C,D,1
엔피씨,4250,B+,0.495835543,D,C,C,D,1
엘앤씨바이오,290650,A,0.77208165,C,D,D,B+,1
엘앤에프,66970,BB-,0.537818864,B,B+,A,C,2
엘에스일렉트릭,10120,BBB-,0.857666818,A,A,A,A,3
엠로,58970,BBB-,0.554890846,D,D,D,C,1
엠씨넥스,97520,A-,0.099082366,B,C,B+,B+,2
영보화학,14440,BBB,0.630921019,D,C,C,D,1
영원무역,111770,BBB,0.909849238,B+,B+,B+,B+,2
영원무역홀딩스,9970,A+,0.523629805,A,B+,B+,A,3
영진약품,3520,BB+,0.58471195,B+,B+,A,B+,2
영풍,670,AA-,0.817473961,B,C,B,B+,2
영풍정밀,36560,AA-,0.351609483,B+,B+,A,B+,2
영풍제지,6740,BB,-0.107353957,D,C,D,D,1
영화금속,12280,AA,0.841945461,D,C,D,D,1
영흥,12160,AA-,-0.992225081,C,C,D,C,0
오뚜기,7310,BBB+,0.985885317,A,A,A+,B+,3
오리엔트바이오,2630,A+,0.814351654,D,D,D,D,1
오리온,271560,AA-,0.707968787,A,A,A,B+,3
오리온홀딩스,1800,A,0.874003819,A,A,A,A,3
오리콤,10470,BBB,0.710439275,B,D,C,B+,2
오스코텍,39200,BBB,0.404885367,D,D,D,D,1
온타이드,5320,AA,0.326209858,D,D,D,D,1
와이즈버즈,273060,AA-,0.477829046,D,D,D,C,1
와이지엔터테인먼트,122870,BBB+,0.241433039,B,A,C,B+,2
와이투솔루션,11690,AA-,0.317781286,C,C,C,C,1
우리금융지주,316140,AA,0.999874353,A,A+,A,B+,3
우리기술투자,41190,BB-,0.981485874,D,D,D,D,1
우성,6980,AA-,0.816659629,D,D,C,D,1
우신시스템,17370,BB+,0.528421167,C,D,D,B,1
우진,105840,BBB-,0.429916119,C,D,C,B,1
우진아이엔에스,10400,A+,0.754614902,C,C,C,B,1
우진플라임,49800,BBB,0.98572633,D,C,D,D,1
웅진,16880,AA-,0.704640998,B,C,B+,B,2
웅진씽크빅,95720,BBB+,0.359317176,B,B,A+,C,2
원림,5820,AA,0.747375192,D,D,D,C,1
원익IPS,240810,A+,0.601337583,B,B,A,C,2
원익QnC,74600,A-,0.395836389,C,B+,A,D,1
원텍,336570,BB,0.682735598,D,D,D,D,1
웰바이오텍,10600,A,0.970969854,D,D,D,D,1
웹젠,69080,AA-,0.936821916,B,D,C,B+,2
위메이드,112040,AA,0.455598924,C,B+,A,C,1
윌비스,8600,BBB-,0.597757426,D,D,C,D,1
유나이티드,33270,BBB+,0.99179247,B+,B,B+,B+,2
유니드,14830,BBB,0.95035113,B,B,B+,B,2
유니드비티플러스,446070,BB,0.694043475,C,C,C,C,1
유니슨,18000,BBB+,0.213274414,C,C,C,B,1
유니온,910,BBB+,0.634900029,C,C,C,B,1
유니온머티리얼,47400,BB+,0.834954402,C,C,D,C,1
유니켐,11330,BBB,0.300028096,D,C,D,D,1
유니퀘스트,77500,A-,0.987046964,D,D,D,C,1
유니테스트,86390,BB+,0.650044116,C,D,C,C,1
유성기업,2920,BB-,0.625510252,C,C,C,B,1
유수홀딩스,700,AA,0.829015138,B+,B+,A,B+,2
유안타증권,3470,BBB,0.597262794,C,C,D,B,1
유엔젤,72130,A-,0.525409453,D,D,D,D,1
유유제약,220,A-,0.496022187,C,D,C,C,1
유진기업,23410,A+,0.52053324,D,D,D,D,1
유진증권,1200,BBB-,0.979650083,C,B,D,B,1
유진테크,84370,A-,0.809150434,C,C,C,C,1
유한양행,100,A,0.826287824,A,B+,A+,A,3
유화증권,3460,BBB-,0.580779571,D,D,D,C,1
윤성에프앤씨,372170,AA,0.802763767,C,C,D,C,1
율촌화학,8730,AA-,0.939025732,C,C,C,C,1
이건산업,8250,BB+,0.225181086,D,D,D,D,1
이구산업,25820,BBB+,0.880197898,C,C,D,B,1
이노션,214320,BBB-,0.089441952,A,A,A+,B+,3
이녹스첨단소재,272290,A,0.896302931,B+,B+,B,B+,2
이니텍,53350,BB,0.68388757,B,C,C,B+,2
이마트,139480,A,0.892111887,A,A,A,A,3
이수페타시스,7660,A,0.245070655,B,B+,A,C,2
이수화학,5950,BB+,0.540429007,B,B+,B+,C,2
이스타코,15020,BBB-,0.959533835,D,D,D,D,1
이아이디,93230,A-,0.861541312,D,D,D,D,1
이엔플러스,74610,BBB-,0.110255369,D,C,D,D,1
이엠텍,91120,A+,0.291252395,D,D,D,C,1
이연제약,102460,BBB-,0.959325091,C,D,D,B+,1
이오테크닉스,39030,B+,0.949351059,D,C,D,D,1
이오플로우,294090,A+,0.838606324,C,D,C,B,1
이월드,84680,A-,0.420265941,D,D,D,D,1
이화산업,760,AA,0.679246149,D,C,D,D,1
인디에프,14990,BB,0.882239418,D,D,D,C,1
인바이오젠,101140,BB+,0.982929492,D,D,D,D,1
인선이엔티,60150,A-,0.899553487,C,C,C,C,1
인스코비,6490,A-,0.947878532,D,D,D,D,1
인지컨트롤스,23800,A,0.052749006,C,C,C,C,1
인천도시가스,34590,AA-,0.363299442,B,D,B,B+,2
인크로스,216050,BBB-,0.873654168,B,D,C,B+,2
인탑스,49070,A,0.211604389,B,C,B+,B,2
인터지스,129260,AA-,0.841548865,C,C,C,C,1
인터플렉스,51370,AA-,0.743265853,C,C,B,C,1
인텔리안테크,189300,BB+,0.678103073,C,B,B,C,1
인팩,23810,BBB,0.531907668,C,C,D,C,1
일동제약,249420,A,0.972711006,A,A,A,B+,3
일동홀딩스,230,B+,0.295433426,B+,A,A,B+,2
일성건설,13360,BBB-,0.594562006,D,C,D,D,1
일성아이에스,3120,BBB,0.462312698,D,D,D,C,1
일신방직,3200,A+,0.299935457,D,C,C,D,1
일신석재,7110,AA,0.900488072,D,D,D,D,1
일양약품,7570,BB+,0.485207924,C,D,C,B+,1
일정실업,8500,AA-,0.723064583,D,D,D,D,1
일진다이아,81000,A,0.323299593,D,D,D,C,1
일진디스플,20760,A,0.771685238,C,C,D,B,1
일진전기,103590,BBB+,0.463867382,D,C,C,D,1
일진하이솔루스,271940,AA-,0.987780828,C,C,C,C,1
일진홀딩스,15860,A-,0.990672293,B,C,C,B+,2
잇츠한불,226320,A-,0.865422521,C,C,C,B,1
자이에스앤디,317400,A+,0.98092517,B,C,B+,B,2
자화전자,33240,BB+,0.950691462,C,C,D,C,1
전방,950,BB-,0.949152747,D,C,D,D,1
제넥신,95700,BBB,0.857372493,C,D,C,B,1
제이시스메디칼,287410,A+,0.434720655,C,D,D,B,1
제이앤티씨,204270,A,0.997985641,C,C,D,C,1
제이에스코퍼레이션,194370,AA,0.830596201,C,D,D,B+,1
제이준코스메틱,25620,A,0.50338386,D,D,D,D,1
제일기획,30000,A,0.399279269,A,A,A+,A,3
제일약품,271980,AA,0.541102004,C,C,B+,D,1
제일연마,1560,BBB+,0.876564063,C,C,D,B+,1
제일파마홀딩스,2620,BB+,0.500881615,C,C,B+,C,1
제주은행,6220,AA,0.888945834,A,A,A,A,3
제주항공,89590,A,0.997444199,A,A+,A+,B+,3
젬백스,82270,AA-,0.826900539,D,C,C,D,1
조광페인트,4910,B+,0.728949517,B+,B+,A,B,2
조광피혁,4700,BBB+,0.780901935,C,D,D,B,1
조비,1550,A,0.762393785,D,D,D,D,1
조선선재,120030,BBB+,0.189357522,D,D,D,C,1
조일알미늄,18470,BBB-,0.491438001,C,C,D,B,1
조흥,2600,BB+,0.653764741,B,B+,C,B,2
종근당,185750,BBB-,0.105983607,A,A,A,B+,3
종근당바이오,63160,AA-,0.587144443,B+,B+,A,B+,2
종근당홀딩스,1630,AA,0.967337226,A,A,A,A,3
주성엔지니어링,36930,A+,0.686056596,B+,B+,A,B+,2
주성코퍼레이션,109070,AA,0.894705188,D,C,D,D,1
주연테크,44380,BBB-,0.054383495,D,D,D,D,1
지누스,13890,AA,0.870704913,A,A,A+,A,3
지씨셀,144510,A+,0.831811261,B+,B+,A,B,2
지엠비코리아,13870,AA-,0.556961534,D,D,C,D,1
지역난방공사,71320,BBB,0.983709086,A+,A+,A+,A,4
진도,88790,BBB,0.790449131,D,D,D,D,1
진양산업,3780,AA,-0.236780858,D,D,D,D,1
진양폴리우레탄,10640,BBB-,0.893655605,D,D,D,D,1
진양홀딩스,100250,BBB+,0.522370904,D,D,D,D,1
진양화학,51630,A+,0.729210902,D,C,C,D,1
진에어,272450,BBB+,0.843396834,A,A+,A,A,3
진원생명과학,11000,A-,0.882672783,D,D,D,D,1
진흥기업,2780,AA,0.592197957,C,D,C,B,1
차바이오텍,85660,BBB,0.69464016,C,D,C,C,1
참엔지니어링,9310,A,0.501307197,D,D,D,C,1
천보,278280,AA,0.925875008,C,C,D,C,1
천일고속,650,A+,0.988106216,D,C,D,D,1
청호ICT,12600,A-,0.919866969,D,D,D,D,1
체시스,33250,A-,0.809494161,D,C,D,D,1
카카오,35720,AA,0.925454688,A,A+,A,B+,3
카카오게임즈,293490,B+,0.616880399,A,A,A+,A,3
카카오뱅크,323410,AA,0.896801004,A,A,A,A,3
카카오페이,377300,A+,0.981894044,B+,A,B+,B+,2
카프로,6380,AA-,0.976995363,D,C,D,D,1
커넥트웨이브,119860,A+,0.888013683,C,D,C,C,1
컴투스,78340,BBB-,0.418777312,A,A,A+,B+,3
케어젠,214370,B+,0.654003808,B,C,C,B+,2
케이비아이동국실업,1620,A-,0.845294425,D,D,D,D,1
케이씨,29460,BBB-,0.808747747,B,C,B+,B,2
케이씨씨,2380,A+,0.963264964,B+,B+,A,B+,2
케이씨씨글라스,344820,BBB+,0.75077151,A,A,A+,B+,3
케이씨텍,281820,A-,0.720093758,C,C,C,B,1
케이씨티시,9070,A+,0.839901661,D,C,D,D,1
케이엔더블유,105330,A,0.598564411,C,C,C,C,1
케이엠더블유,32500,AA-,0.797231911,C,C,D,C,1
케이카,381970,BBB+,0.530994866,B,C,B,B,2
케이탑리츠,145270,AA,-0.01375031,D,D,D,D,1
케이티,30200,AA,-0.443230549,A+,A,A+,A+,4
케이티스카이라이프,53210,BBB+,0.447461978,B+,B+,A,B+,2
케이티알파,36030,AA,0.636234443,B+,B+,A,B+,2
케이티앤지,33780,AA-,0.893264762,A,A,A+,A,3
코리아써키트,7810,A,0.616348049,C,B,D,D,1
코리아에셋투자증권,190650,AA-,0.78206667,C,D,B,C,1
코리안리,3690,A,0.64572438,A,A,A+,A,3
코미코,183300,A,0.840063727,B,A,B,C,2
코미팜,41960,AA-,0.922783406,C,C,D,C,1
코스맥스,192820,BB-,0.485239257,B+,A,A+,B,2
코스맥스비티아이,44820,A+,0.56049666,B,A,A+,C,2
코스모신소재,5070,A+,0.95910645,C,C,D,C,1
코스모화학,5420,BB+,0.871699063,D,C,D,D,1
코아스,71950,AA-,0.657529736,C,C,D,B,1
코오롱,2020,AA,0.975166227,B+,B+,A,B,2
코오롱ENP,138490,A,0.639074276,B,B+,C,B+,2
코오롱글로벌,3070,BB,0.673509045,B+,B,A,B+,2
코오롱생명과학,102940,BB-,0.938532596,C,D,C,B+,1
코오롱인더,120110,A+,0.963558169,A,B+,A+,B+,3
코웨이,21240,BBB-,0.920616719,A,B+,A+,B+,3
코웰패션,33290,AA,0.924371243,C,C,D,C,1
콘텐트리중앙,36420,BBB,0.496581669,D,C,D,D,1
콜마비앤에이치,200130,BB+,0.866790669,A,B+,A,A,3
콜마홀딩스,24720,A,0.758936083,A,A,A+,A,3
콤텍시스템,31820,A-,0.478569248,C,B+,B+,D,1
쿠쿠홀딩스,192400,A,0.420428076,C,D,C,B,1
쿠쿠홈시스,284740,A+,-0.01598146,C,D,C,B,1
큐렉소,60280,BB,0.876361531,D,D,D,D,1
큐캐피탈,16600,AA-,0.589139233,D,D,D,D,1
크라운제과,264900,BBB,0.943436094,C,C,C,B,1
크라운해태홀딩스,5740,A-,0.786576005,C,C,C,C,1
크래프톤,259960,A,0.974821824,B+,C,A,A,2
클래시스,214150,BB,0.730993784,A+,A,A+,A+,4
키다리스튜디오,20120,AA,0.490765323,D,D,D,D,1
키움증권,39490,A+,0.960348921,B+,B,A,B+,2
키이스트,54780,B,0.810051525,D,D,D,D,1
탑머티리얼,360070,A+,0.767034164,C,D,D,B,1
태경비케이,14580,BBB-,0.604411079,D,C,D,D,1
태경산업,15890,AA-,0.342886567,D,C,D,D,1
태경케미컬,6890,AA,0.979407391,D,D,C,D,1
태광산업,3240,AA-,0.90939968,B,B+,A+,C,2
태림포장,11280,AA,0.970537591,B,B+,A+,C,2
태양금속공업,4100,BBB-,0.947882761,C,C,D,C,1
태영건설,9410,B,0.355681101,B,B+,B+,C,2
태원물산,1420,BBB-,0.945475817,D,D,D,D,1
테스,95610,A,0.658871019,B+,B,B+,B+,2
테이팩스,55490,A-,0.692467033,B+,B+,A,B+,2
텔코웨어,78000,A,0.990921066,C,D,D,B+,1
토니모리,214420,BBB,0.446923633,C,D,D,B,1
티비에이치글로벌,84870,B+,0.761367072,C,D,D,B,1
티씨케이,64760,A-,0.902554122,B+,B,A,B+,2
티에스이,131290,A,0.953329404,D,D,D,C,1
티에이치엔,19180,BBB-,0.598009871,D,C,C,D,1
티와이홀딩스,363280,BBB-,0.952129852,C,B+,B+,D,1
티웨이항공,91810,AA,0.254065235,B+,A,B,B+,2
티웨이홀딩스,4870,BB+,0.090390634,D,D,D,D,1
티케이지휴켐스,69260,A,0.870693991,B+,B+,A,B,2
티케이케미칼,104480,BB,0.424695642,D,C,D,D,1
파라다이스,34230,BBB+,0.650154764,D,D,D,C,1
파마리서치,214450,B,0.993097712,B,D,B+,B+,2
파미셀,5690,A+,0.10306223,D,D,D,C,1
파크시스템스,140860,A+,0.373895006,C,C,D,B,1
파트론,91700,BB-,0.928991621,D,C,D,D,1
팜스코,36580,A+,0.999397182,B+,B,B+,B+,2
팜젠사이언스,4720,BBB-,0.991232602,C,C,B,D,1
팬오션,28670,AA,0.918574811,A,A,A+,A,3
퍼스텍,10820,BBB+,0.718436538,D,C,C,D,1
퍼시스,16800,A-,0.951395621,C,B,C,C,1
펄어비스,263750,AA-,0.472906307,B+,B+,A+,B,2
페이퍼코리아,1020,AA,0.620588214,C,C,C,C,1
평화산업,90080,AA,0.482480962,C,B,B,C,1
평화홀딩스,10770,BB,0.930871058,B,B,B,B,2
포스코DX,22100,AA,0.588405716,A,A,A+,B+,3
포스코스틸리온,58430,A+,0.907573475,A,A,A+,B+,3
포스코엠텍,9520,BBB,0.627689533,A,A,A+,A,3
포스코인터내셔널,47050,A+,0.574253908,A,B+,A+,A,3
포스코퓨처엠,3670,AA,0.537984098,A+,A+,A+,A,4
풀무원,17810,B+,0.854313608,A,A,A+,A,3
풍산,103140,AA,0.995893742,B+,B,B+,B+,2
풍산홀딩스,5810,A+,0.867291462,B+,B,B,B+,2
프로텍,53610,BB,0.90707877,C,C,D,C,1
플레이그램,9810,AA-,0.628729399,D,D,D,D,1
플레이디,237820,AA,0.292819109,B+,B+,B+,B+,2
플루토스,19570,AA,0.913675847,D,D,D,D,1
피에스케이,319660,B+,0.920222166,B,C,B,B,2
피엔티,137400,AA,0.553607742,D,D,D,C,1
하나금융지주,86790,A-,0.489915756,A,A+,A+,A,3
하나기술,299030,BBB,0.275590585,C,C,D,B,1
하나마이크론,67310,AA,0.318986686,C,B+,A,D,1
하나머티리얼즈,166090,A-,0.876783778,B,B,A,C,2
하나제약,293480,BBB,0.912136762,D,D,D,C,1
하나투어,39130,A+,0.978508423,A,A,A,A,3
하림,136480,BBB-,0.974897764,A,A,A,A,3
하림지주,3380,BBB,0.779178719,B+,A,A,B+,2
하이드로리튬,101670,A+,0.828741159,D,D,D,D,1
하이브,352820,AA,0.869431989,B+,B,A,B+,2
하이스틸,71090,A-,0.694599467,C,C,C,C,1
하이트진로,80,BBB,0.335928637,B+,A,A,B,2
하이트진로홀딩스,140,A-,0.391084932,B+,A,A,B,2
한국가스공사,36460,AA,0.955149981,A,A,A+,A,3
한국공항,5430,BB+,0.666386182,A,A,A,B+,3
한국금융지주,71050,AA,0.121022644,B+,B+,B+,B+,2
한국내화,10040,BBB,0.409050242,B+,B+,A,B,2
한국단자공업,25540,A-,0.97121062,C,C,C,C,1
한국무브넥스,10100,BBB-,0.351793217,C,B,C,C,1
한국석유공업,4090,BB+,0.77728177,B+,B+,B+,A,2
한국수출포장공업,2200,AA-,0.298774086,C,C,D,C,1
한국쉘석유,2960,BBB-,0.820561202,D,D,D,C,1
한국앤컴퍼니,240,AA-,0.509457645,B+,B+,A,B,2
한국자산신탁,123890,AA,0.859670301,C,C,D,C,1
한국전력공사,15760,AA-,0.910947321,B,C,D,A,2
한국전자홀딩스,6200,A-,0.656297383,D,C,D,D,1
한국정보인증,53300,BBB-,0.60934231,D,D,C,D,1
한국정보통신,25770,A,0.564601005,C,D,D,B,1
한국제지,27970,BBB,-0.153010031,C,C,C,C,1
한국종합기술,23350,BBB,0.656605169,B,C,B,B+,2
한국주강,25890,A+,0.821633302,D,D,D,D,1
한국주철관공업,970,BB,0.920823896,D,C,D,D,1
한국철강,104700,A+,0.028984709,C,C,D,C,1
한국카본,17960,BBB,0.951096364,C,B+,B+,D,1
한국캐피탈,23760,AA,0.799164975,C,D,D,B,1
한국콜마,161890,BBB,0.801281433,A,A,A+,A,3
한국타이어앤테크놀로지,161390,AA,0.919237457,C,B+,A,D,1
한국토지신탁,34830,A+,0.733642425,D,D,C,D,1
한국특강,7280,AA,0.277138159,C,C,C,C,1
한국항공우주,47810,AA,0.582343291,A,A,A,B+,3
한국화장품,123690,BBB,0.583006457,D,D,D,D,1
한국화장품제조,3350,BBB+,0.72752477,D,D,C,D,1
한글과컴퓨터,30520,AA-,0.882487831,D,D,D,C,1
한농화성,11500,A-,0.874456642,D,C,D,D,1
한독,2390,AA,-0.05162253,A,A,A+,B+,3
한미글로벌,53690,AA-,0.784309664,B+,A,A,B+,2
한미반도체,42700,BBB-,-0.148220713,D,D,D,D,1
한미사이언스,8930,BBB,0.556550817,B+,B+,A,B+,2
한미약품,128940,A+,0.508127479,B,A,A+,C,2
한샘,9240,BBB,0.912882843,A,B+,A,A,3
한섬,20000,BB,0.992098947,A,A,A+,A,3
한성기업,3680,A+,0.736110295,C,B,B+,D,1
한세실업,105630,B+,0.998230674,A,B+,A,A,3
한세엠케이,69640,AA-,0.893132998,B+,B+,B+,B+,2
한세예스24홀딩스,16450,A-,0.92913505,A,B+,A,A,3
한솔로지스틱스,9180,BBB-,0.511213205,B+,C,B+,A,2
한솔아이원스,114810,AA-,0.882329565,B+,B,B+,B+,2
한솔인티큐브,70590,AA-,0.747707476,B+,C,B+,A,2
한솔제지,213500,BBB,0.371804267,A,A,A+,A,3
한솔케미칼,14680,BB-,0.396712599,A,B+,A,A,3
한솔테크닉스,4710,A,0.987731774,B+,B+,B+,B+,2
한솔피엔에스,10420,BB,0.742572818,B+,B,B,A,2
한솔홀딩스,4150,B+,0.380970576,A,B+,A,A,3
한솔홈데코,25750,AA,0.962234212,B+,B+,B,B+,2
한신공영,4960,BBB-,0.618920022,D,C,C,D,1
한신기계공업,11700,B,0.740416479,C,C,C,C,1
한양증권,1750,BBB,0.261357765,C,D,C,C,1
한온시스템,18880,A+,0.928438335,B+,A,A+,B,2
한올바이오파마,9420,BBB,0.684875223,C,D,D,B+,1
한익스프레스,14130,AA-,0.773625347,D,C,D,D,1
한일시멘트,300720,BBB+,0.825179928,A,A,A+,B+,3
한일철강,2220,BBB,0.999815471,D,D,D,D,1
한일현대시멘트,6390,BBB+,0.893771407,A,A,A,B+,3
한일홀딩스,3300,B+,0.900579057,A,A,A+,B+,3
한전KPS,51600,AA-,0.927451214,A,A+,A+,B+,3
한전기술,52690,AA-,0.979646465,A,A,A+,B+,3
한전산업,130660,BBB+,0.663168199,C,C,C,C,1
한진,2320,B,0.881730034,A,A,A,A,3
한진중공업홀딩스,3480,A-,-0.12839093,C,D,C,B+,1
한진칼,180640,A+,0.989054372,A,B+,A,A,3
한창,5110,AA-,0.917812614,D,D,D,D,1
한창제지,9460,A,0.737604855,C,C,D,C,1
한컴라이프케어,372910,A-,0.831816867,D,C,C,D,1
한화,880,AA-,0.262003697,B+,A,B+,B+,2
