기업명,기업코드,공시신용등급,감성지수,ESG등급,환경,사회,지배구조,GMM_Cluster
SK하이닉스,660,BBB,0.708738912,B+,A,A+,B,2
SK,34730,BBB-,0.912132543,A,A,A+,A,3
SM Life Design,63440,A+,0.68017601,D,D,D,D,1
SNT다이내믹스,3570,B+,0.368131187,C,C,D,C,1
SNT모티브,64960,AA,0.789126991,C,C,C,C,1
SNT에너지,100840,BB-,0.578813832,C,C,D,B,1
SNT홀딩스,36530,BBB,0.704645801,B,C,D,B+,2
SOOP,67160,A+,0.616116668,B+,B,A,B+,2
SPC삼립,5610,A+,0.796748395,B,B,C,B,2
STX,11810,B,0.753761171,D,D,C,D,1
STX엔진,77970,BB,0.666706029,D,C,C,D,1
SUN&L,2820,A+,0.818010996,C,C,C,B,1
TCC스틸,2710,A,0.598805404,C,B,A,D,1
TP,7980,AA,0.30325774,C,C,C,C,1
TYM,2900,BBB,0.835113247,B+,B+,A,B,2
WISCOM,24070,A,0.46224117,C,C,D,C,1
YG PLUS,37270,BBB,0.938689283,D,D,D,D,1
SM C&C,48550,BB+,0.746605909,D,D,D,D,1
가온전선,500,AA-,0.285646389,B,A,A,C,2
강남제비스코,860,A+,0.846839558,B+,A,B+,B+,2
강원랜드,35250,BB-,0.950011671,A,A,A,A,3
강원에너지,114190,BB,0.744651595,D,C,D,D,1
갤럭시아머니트리,94480,AA,0.722647682,C,D,C,B,1
갤럭시아에스엠,11420,BB,0.871393518,D,D,D,D,1
경농,2100,BB+,-0.034420483,C,C,D,B,1
경동나비엔,9450,A,0.293905517,A,B+,A+,B+,3
경동도시가스,267290,AA,0.935425856,B,C,B+,B,2
경동인베스트,12320,AA,0.894501853,B,C,B+,B,2
경방,50,AA-,0.284120127,C,C,D,C,1
경보제약,214390,BBB+,0.664893067,B+,B+,A,B,2
경인양행,12610,BB+,-0.263727486,B+,B+,B+,B,0
경인전자,9140,BB+,0.973840288,D,D,D,D,1
계룡건설산업,13580,A+,0.532099932,B,B+,C,B+,2
계양전기,12200,AA-,0.938216353,D,C,C,D,1
고려산업,2140,AA,0.857168513,D,D,D,C,1
고려아연,10130,AA-,0.927110554,B+,B+,A,B+,2
고려제강,2240,BBB+,0.989232092,D,C,D,D,1
고영,98460,AA-,0.313532104,B+,B,A,B,2
골프존,215000,AA-,0.992683734,B+,A,A,B+,2
광동제약,9290,BB-,0.876491122,C,B+,C,C,1
광명전기,17040,BBB-,0.980247391,C,C,D,C,1
광전자,17900,A-,0.880301296,C,C,D,C,1
광주신세계,37710,AA,0.858439703,A,A,A+,A,3
교보증권,30610,AA-,0.455827782,B+,A,A,B+,2
교촌에프앤비,339770,BBB,0.660859757,D,D,D,C,1
국도화학,7690,BBB-,0.844340413,C,C,B,C,1
국보,1140,AA,0.816867528,D,C,D,D,1
국제약품,2720,BBB-,0.539585914,D,D,D,C,1
그린케미칼,83420,A+,0.492487943,C,C,D,C,1
극동유화,14530,BB,0.951264906,D,C,D,D,1
금강공업,14280,AA,0.921112926,D,C,D,D,1
금비,8870,AA,0.222443056,D,D,D,C,1
금양,1570,AA-,0.966499436,D,C,D,D,1
금호건설,2990,A+,0.999512172,B+,B,A,B,2
금호석유화학,11780,BB+,0.819712733,B+,A,A+,B,2
금호에이치티,214330,BBB,0.659023726,D,C,D,D,1
금호전기,1210,A,0.632904593,D,C,D,D,1
금호타이어,73240,A,0.827962143,B+,A,B+,B+,2
기신정기,92440,AA,0.771559215,D,D,D,C,1
